CA1233
100	1	2500	3	3	3600	600
Inst	t	#S	q	fit	#It
8	22	22	1	0.947012	173227
31	22	23	1.04545	0.932095	75241
50	23	23	1	0.936165	107843
66	24	24	1	0.966235	19649
79	25	26	1.04	0.904725	3109
101	24	25	1.04167	0.919854	10471
114	25	26	1.04	0.894773	1628
153	23	23	1	0.956249	65243
171	24	26	1.08333	0.860687	3125
199	22	22	1	0.962129	132902
205	25	26	1.04	0.933227	7131
227	23	24	1.04348	0.932677	65294
232	24	24	1	0.949917	38424
243	25	26	1.04	0.932417	10594
281	23	24	1.04348	0.895513	21389
318	22	23	1.04545	0.930039	116232
334	22	23	1.04545	0.933126	79192
351	24	24	1	0.933636	22704
366	23	24	1.04348	0.922049	44634
396	23	23	1	0.953225	76715
413	23	24	1.04348	0.93121	47909
420	25	26	1.04	0.92713	6249
449	24	25	1.04167	0.931243	13922
456	23	23	1	0.957926	84856
474	25	25	1	0.937505	13031
519	24	24	1	0.951687	19104
539	23	24	1.04348	0.934782	49484
542	22	22	1	0.935828	208498
560	21	22	1.04762	0.910104	64066
594	24	26	1.08333	0.880994	6457
607	25	26	1.04	0.912601	2874
628	23	24	1.04348	0.927821	26974
635	25	26	1.04	0.913035	3644
662	23	23	1	0.933122	40065
683	22	23	1.04545	0.935103	130770
711	24	24	1	0.941204	31624
732	23	23	1	0.942749	82872
744	23	24	1.04348	0.929435	36016
772	23	23	1	0.936255	32033
799	22	22	1	0.970713	87548
808	23	23	1	0.94248	22378
828	24	25	1.04167	0.932843	22677
856	24	27	1.125	0.826618	2087
860	23	24	1.04348	0.913349	16708
884	23	24	1.04348	0.884646	14353
916	23	24	1.04348	0.931038	32126
925	22	22	1	0.941352	110677
955	24	24	1	0.933197	20686
988	22	23	1.04545	0.931146	103779
994	25	25	1	0.937896	4911
