CR10233
1000	2	2500	3	3	3600	600
Inst	t	#S	q	fit	#It
8	221	233	1.0543	0.894615	7
31	224	250	1.11607	0.853691	7
50	218	291	1.33486	0.659153	7
66	239	296	1.23849	0.715117	7
79	234	405	1.73077	0.471354	7
101	198	398	2.0101	0.373593	7
114	222	355	1.5991	0.514057	7
153	250	358	1.432	0.591757	7
171	229	410	1.79039	0.421906	7
199	223	231	1.03587	0.931969	7
205	251	259	1.03187	0.93343	7
227	242	331	1.36777	0.640217	7
232	227	234	1.03084	0.942395	7
243	247	255	1.03239	0.938151	7
281	222	274	1.23423	0.743755	7
318	269	280	1.04089	0.919445	7
334	253	318	1.25692	0.717479	7
351	216	279	1.29167	0.685599	7
366	250	397	1.588	0.49819	7
396	226	233	1.03097	0.937623	7
413	214	242	1.13084	0.837766	7
420	199	251	1.26131	0.730183	7
449	220	244	1.10909	0.852652	7
456	230	235	1.02174	0.952959	7
474	241	248	1.02905	0.939266	7
519	279	294	1.05376	0.899404	7
539	238	245	1.02941	0.940904	7
542	189	228	1.20635	0.755621	7
560	212	455	2.14623	0.330027	7
594	251	271	1.07968	0.861812	7
607	225	254	1.12889	0.824021	7
628	223	232	1.04036	0.918184	7
635	259	272	1.05019	0.902901	7
662	238	321	1.34874	0.662272	7
683	233	355	1.52361	0.546956	7
711	228	237	1.03947	0.924057	7
732	241	249	1.0332	0.934832	7
744	211	217	1.02844	0.944484	7
772	230	301	1.3087	0.68174	7
799	221	670	3.03167	0.178978	6
808	207	270	1.30435	0.697528	7
828	223	232	1.04036	0.921474	7
856	217	375	1.72811	0.456398	7
860	237	249	1.05063	0.914192	7
884	229	308	1.34498	0.659918	7
916	205	213	1.03902	0.923932	7
925	242	253	1.04545	0.916461	7
955	264	353	1.33712	0.638887	7
988	241	254	1.05394	0.903595	7
994	255	323	1.26667	0.705	7
